Recreation Visits,LowestTemperature(F),HighestTemperature(F),WarmestMinimumTemperature(F),ColdestMaximumTemperature(F),AverageMinimumTemperature(F),AverageMaximumTemperature(F),MeanTemperature(F),TotalPrecipitation(In),TotalSnowfall(In),Max 24hrPrecipitation(In),Max 24hrSnowfall(In),Year/Month/Day
30621,-17,37,23,10,8.9,29.3,19.1,1.09,16.1,0.4,6.5,01/01/2016
28091,-17,42,27,2,6.3,29.9,18.1,0.77,8.8,0.23,3,01/01/2015
26778,-19,41,26,5,3.8,27.1,15.5,1.28,14.1,0.25,2.5,01/01/2014
24699,-22,43,30,6,1.2,23.5,12.3,0.61,11.5,0.17,3.8,01/01/2013
24766,-14,41,28,14,6.6,29.4,18,1.13,15,0.24,3,01/01/2012
24517,2,41,27,12,17.8,30.5,24.1,0.15,5.1,0.07,1.4,01/01/2011
25595,-31,43,26,3,5.5,30.5,18,0.85,14.3,0.25,3.5,01/01/2010
24770,-32,42,24,4,2.9,26.2,14.5,1.03,21.3,0.17,4.1,01/01/2009
26864,-32,40,18,2,-0.9,22.8,10.9,1.65,29.8,0.43,7,01/01/2008
25476,-35,39,28,-5,-3.8,23.5,9.9,0.26,6.4,0.11,2.6,01/01/2007
23989,-7,43,27,24,5.7,31.7,18.7,1.06,18.6,0.32,6.5,01/01/2006
22297,-14,45,22,10,4.8,30.9,17.9,1.51,21,0.5,9.1,01/01/2005
22817,-31,40,24,-6,1.9,27.7,14.8,1.95,18,0.48,5.5,01/01/2004
36387,-14,42,26,19,4.6,33.4,19,0.9,12.6,0.23,3,01/01/2003
40465,-22,43,23,10,2.3,26.9,14.6,0.88,15.2,0.18,3.8,01/01/2002
44356,-19,41,16,14,-3.7,26.4,11.3,0.34,8.5,0.17,2,01/01/2001
37301,-26,48,22,15,-1.5,30.5,14.5,1.13,19.8,0.54,9.4,01/01/2000
34346,-21,41,19,17,4.3,31,17.6,1.94,30.7,0.68,10,01/01/1999
33845,-15,42,23,2,5.5,30.7,18.1,1.89,35,0.59,12,01/01/1998
31155,-46,43,28,-8,-5,26.5,10.7,2.5,29.7,0.78,4.8,01/01/1997
32871,-32,41,21,7,-2.3,26.3,12,1.84,31.9,0.45,7.5,01/01/1996
40868,-30,43,30,5,2,26.8,14.4,0.98,14.1,0.19,2.5,01/01/1995
40757,-16,44,22,22,7,33.9,20.4,0.7,11.9,0.13,2,01/01/1994
38100,-22,39,16,9,-3.1,26.1,11.5,1.22,18.5,0.28,4,01/01/1993
33552,-17,44,17,14,-1.5,28.2,13.3,0.14,5.5,0.03,1,01/01/1992
28851,-33,38,21,1,-1.4,24.6,11.6,0.61,13.2,0.1,2,01/01/1991
25884,-20,43,26,9,3.6,28.5,16.1,1.62,26.3,0.36,4,01/01/1990
24328,-22,38,19,4,-1.3,25.2,12,1.6,28.9,0.6,11,01/01/1989
25706,-30,41,15,7,-6.2,26,9.9,0.89,10.5,0.19,2,01/01/1988
27238,-34,49,25,5,-4.5,24.8,10.1,0.67,12.8,0.21,3,01/01/1987
24708,-17,48,26,16,2.1,30,16.1,0.95,11.5,0.16,2,01/01/1986
36327,-17,47,32,11,11.4,36.9,24.2,0.42,3.4,0.12,1.5,01/02/2016
34343,-15,53,32,21,14.2,38.2,26.2,0.39,5,0.11,2.5,01/02/2015
28233,-39,43,25,-7,3.7,27.3,15.5,1.32,19.5,0.22,4,01/02/2014
31053,-16,44,23,20,6.6,32.4,19.5,0.34,8.5,0.11,2,01/02/2013
27752,-10,41,22,25,4.7,31.7,18.2,0.85,12.2,0.11,2.5,01/02/2012
28174,-32,48,21,-2,-3.2,26,11.4,1.25,21.8,0.39,5.8,01/02/2011
29108,-14,46,22,23,5.9,34.9,20.4,0.49,8.4,0.15,3,01/02/2010
28355,-14,49,30,18,4.2,31.9,18,0.67,14.2,0.42,5.8,01/02/2009
33557,-8,45,26,23,6.3,32.9,19.6,0.49,12.5,0.1,2.1,01/02/2008
30928,-23,48,26,12,11,34,22.5,1.2,19,0.23,3,01/02/2007
29011,-34,50,30,0,0.2,29,14.6,0.36,8.2,0.22,3.5,01/02/2006
29018,-17,47,25,21,1.4,35.3,18.3,0.26,8.7,0.08,2,01/02/2005
30030,-17,43,27,22,4,32.3,18.1,0.73,5.8,0.27,1.5,01/02/2004
39494,-32,46,29,8,-0.5,31.9,15.7,0.98,16.5,0.17,2.8,01/02/2003
52002,-27,50,22,13,-3.2,31.8,14.3,0.4,8.3,0.18,2.4,01/02/2002
48980,-29,43,18,7,3.5,31.2,17.4,0.55,11.5,0.18,3.7,01/02/2001
47573,-23,50,20,20,3.8,37.4,20.6,0.87,9.9,0.35,5.5,01/02/2000
41120,-16,50,25,19,4.1,34.3,19.2,1.06,17.4,0.24,3,01/02/1999
43032,-14,43,22,27,6.2,35.6,20.9,0.44,6.3,0.1,2,01/02/1998
42392,-28,49,22,18,-4.2,32.1,14,1.29,23.8,0.24,4.7,01/02/1997
51692,-42,50,33,0,1.6,31.8,16.7,0.68,13.8,0.17,3,01/02/1996
48034,-22,55,33,2,9.3,37,23.2,0.7,9.4,0.17,2.5,01/02/1995
44946,-22,51,23,11,-3.1,30.9,13.9,1.39,23.5,0.34,7,01/02/1994
44049,-26,45,17,0,-2.7,29.9,13.6,0.79,13.3,0.25,3,01/02/1993
40245,-11,50,30,28,8.4,39.8,24.1,0.5,6.8,0.15,2,01/02/1992
38050,-2,52,24,34,9.8,40.1,24.9,0.31,2.6,0.26,1.5,01/02/1991
33285,-30,48,23,12,-1.5,31.8,15.2,0.37,9.8,0.07,1.5,01/02/1990
30768,-42,48,19,-25,-6.3,22.7,8.2,0.92,11.1,0.3,3,01/02/1989
35936,-16,49,20,21,2.6,35.5,19,0.56,11,0.26,4.5,01/02/1988
32559,-15,45,27,19,2.1,35.9,19,0.35,2.1,0.16,1,01/02/1987
29684,-21,58,32,13,10.5,33.9,22.2,1.34,24.8,0.39,6,01/02/1986
22924,-6,54,33,30,17.8,41.8,29.8,1.02,10.6,0.16,2.5,01/03/2016
22989,-12,63,32,19,17.6,48.5,33.1,0.28,1.5,0.13,1,01/03/2015
18778,-14,53,34,8,13.8,39.6,26.7,1.76,21,0.49,6,01/03/2014
18613,-9,55,32,23,12,39.4,25.7,0.69,9,0.18,2.5,01/03/2013
20248,-7,64,35,26,20.1,44.5,32.3,1.13,3.9,0.17,2,01/03/2012
18728,5,51,28,30,15.7,39.6,27.7,2.02,14.4,0.61,6.7,01/03/2011
21028,3,59,31,38,15.9,46.9,31.4,0.65,1.9,0.44,1.4,01/03/2010
17317,-10,56,30,20,11,38.6,24.8,1.52,20.3,0.5,5.5,01/03/2009
19147,-9,47,20,28,6.8,37.9,22.4,1.72,28.3,0.39,7,01/03/2008
20225,-15,62,32,24,18.6,48.3,33.4,0.44,1.2,0.39,0.5,01/03/2007
18879,-13,56,26,26,10.7,39.9,25.3,0.8,11.2,0.25,3.5,01/03/2006
17324,3,57,31,27,15.4,42,28.7,0.63,12.2,0.2,3,01/03/2005
20187,-1,65,36,33,18.6,48.1,33.4,0.31,6.2,0.16,2.5,01/03/2004
17718,-10,58,31,26,14.1,41.9,28,1.64,15.2,0.72,4.8,01/03/2003
