Year/Month/Day,3month Percent Change Airfare Costs,3month Percent Change Food Away From Home Costs,3month Percent Change Gasoline Costs,3month Percent Change Jet Fuel Costs,Consumer Price Index,Consumer Sentiment Index,Unemployment Rate
01/01/2016,-0.3,0.6,-7.3,-23.2,0.2,92,4.9
01/01/2015,-3.8,0.8,-28.4,-30.1,-0.5,98.1,5.7
01/01/2014,-3.6,0.5,4.2,5.7,0.4,81.2,6.6
01/01/2013,3.8,0.4,-8.1,-0.5,0.3,73.8,8
01/01/2012,0.5,0.8,0.1,9.1,0.4,75,8.3
01/01/2011,7.7,0.4,10.4,12.7,0.5,74.2,9.1
01/01/2010,2.4,0.3,5.9,16,0.3,74.4,9.8
01/01/2009,-7.5,0.9,-42.2,-43.8,0.4,61.2,7.8
01/01/2008,3.7,0.9,11.1,25.9,0.5,78.4,5
01/01/2007,-1.1,1,4.2,5.3,0.3,96.9,4.6
01/01/2006,0.3,0.7,-10.8,-19.2,0.8,91.2,4.7
01/01/2005,0.5,0.7,-3.4,0.9,0.2,95.5,5.3
01/01/2004,-0.8,0.9,8.3,38.3,0.5,103.8,5.7
01/01/2003,1.3,0.2,8.9,22.6,0.4,82.4,5.8
01/01/2002,0.1,0.5,-14.1,-4.6,0.2,93,5.7
01/01/2001,1.1,0.6,-1.5,-13.5,0.6,94.7,4.2
01/01/2000,-1.4,0.6,5.6,25.3,0.3,112,4
01/01/1999,0.6,0.7,-4.2,-17.3,0.2,103.9,4.3
01/01/1998,-2.6,0.6,-6.8,-8.8,0.2,106.6,4.6
01/01/1997,-1,0.7,5.4,5.9,0.3,97.4,5.3
01/01/1996,-7.4,0.4,3.8,14.7,0.6,89.3,5.6
01/01/1995,-0.2,0.7,-0.4,-0.9,0.4,97.6,5.6
01/01/1994,5.9,0.3,-4.2,-14.6,0.3,94.3,6.6
01/01/1993,8.3,0.5,0.7,-6.7,0.5,89.3,7.3
01/01/1992,3.9,0.5,0.2,-13.8,0.1,67.5,7.3
01/01/1991,4.2,0.7,-5.1,-19.6,0.6,66.8,6.4
01/01/1990,0,1,5.8,33.3,1,93,5.4
01/01/1989,,1.1,0.5,19.3,0.5,97.9,5.4
01/01/1988,,0.8,-1.7,-8.5,0.3,90.8,5.7
01/01/1987,,1.2,7.2,3.1,0.6,90.4,6.6
01/01/1986,,0.8,2,1,0.3,95.6,6.7
01/02/2016,-0.4,0.6,-17.4,-30.2,0.1,91.7,4.9
01/02/2015,-2.5,0.7,-21.8,-31.2,0.4,95.4,5.5
01/02/2014,-3.3,0.5,3,6.3,0.4,81.6,6.7
01/02/2013,4.9,0.4,4.7,8.3,0.8,77.6,7.7
01/02/2012,2.7,0.7,2.6,2.7,0.4,75.3,8.3
01/02/2011,6.4,0.5,9.1,20.1,0.5,77.5,9
01/02/2010,-1.1,0.2,-1,7.9,0,73.6,9.8
01/02/2009,-5.8,0.9,-9.3,-30.5,0.5,56.3,8.3
01/02/2008,2,1,3.4,12.7,0.3,70.8,4.9
01/02/2007,3.9,1.1,6.8,13.2,0.5,91.3,4.5
01/02/2006,0,0.8,4.1,8.5,0.2,86.7,4.8
01/02/2005,-2.6,0.9,-3.2,-1.5,0.6,94.1,5.4
01/02/2004,0,0.9,10.9,34,0.5,94.4,5.6
01/02/2003,0.3,0.5,18.8,41.4,0.8,79.9,5.9
01/02/2002,2.3,0.7,-4.2,-3.3,0.4,90.7,5.7
01/02/2001,1.7,0.8,-2,-13.8,0.4,90.6,4.2
01/02/2000,1.7,0.7,10.4,35.4,0.6,111.3,4.1
01/02/1999,5.3,0.7,-4.8,-13.8,0.1,108.1,4.4
01/02/1998,4.6,0.6,-8,-9.8,0.2,110.4,4.6
01/02/1997,-3.6,0.6,3.4,10.4,0.3,99.7,5.2
01/02/1996,-1.6,0.5,5.8,2,0.3,88.5,5.5
01/02/1995,2,0.5,-1.2,-3.7,0.4,95.1,5.4
01/02/1994,1.9,0.3,-1.1,-4.3,0.3,93.2,6.6
01/02/1993,6,0.5,0.2,2.7,0.4,86.6,7.1
01/02/1992,2.7,0.5,-1.2,-4.7,0.4,68.8,7.4
01/02/1991,3.3,0.7,-12.5,-21.9,0.1,70.4,6.6
01/02/1990,2.8,1.2,8,18.7,0.5,89.5,5.3
01/02/1989,,1.3,2.4,17.6,0.4,95.4,5.2
01/02/1988,,0.9,-2.3,-6.6,0.3,91.6,5.7
01/02/1987,,1,14.6,15.6,0.4,90.2,6.6
01/02/1986,,0.8,-3.2,-3.7,-0.3,95.9,7.2
01/03/2016,-0.2,0.7,-10.8,-21.4,0.4,91,5
01/03/2015,-1.8,0.6,-10.6,-21.6,0.6,93,5.4
01/03/2014,-1.5,0.6,-1.6,-4.8,0.6,80,6.7
